Voltage : 12.99 V | Pitch angle : 59.00° | Yaw angle : -4.75° | Pitch_current : 2.87 A | Yaw_current : 7.08 A
Voltage : 13.67 V | Pitch angle : 58.75° | Yaw angle : -4.75° | Pitch_current : 2.94 A | Yaw_current : 6.50 A
Voltage : 11.39 V | Pitch angle : 58.75° | Yaw angle : -5.00° | Pitch_current : 7.10 A | Yaw_current : 6.25 A
Voltage : 11.72 V | Pitch angle : 59.00° | Yaw angle : -5.25° | Pitch_current : 6.71 A | Yaw_current : 7.36 A
Voltage : 13.34 V | Pitch angle : 59.00° | Yaw angle : -5.75° | Pitch_current : 2.84 A | Yaw_current : 8.36 A
Voltage : 12.71 V | Pitch angle : 58.75° | Yaw angle : -6.00° | Pitch_current : 3.35 A | Yaw_current : 7.11 A
Voltage : 12.51 V | Pitch angle : 58.75° | Yaw angle : -6.50° | Pitch_current : 6.58 A | Yaw_current : 7.16 A
Voltage : 13.39 V | Pitch angle : 59.00° | Yaw angle : -7.00° | Pitch_current : 6.08 A | Yaw_current : 9.16 A
Voltage : 13.57 V | Pitch angle : 59.00° | Yaw angle : -7.50° | Pitch_current : 2.81 A | Yaw_current : 9.14 A
Voltage : 13.29 V | Pitch angle : 58.75° | Yaw angle : -8.00° | Pitch_current : 2.83 A | Yaw_current : 7.36 A
Voltage : 12.56 V | Pitch angle : 58.75° | Yaw angle : -8.25° | Pitch_current : 6.05 A | Yaw_current : 7.54 A
Voltage : 13.21 V | Pitch angle : 59.00° | Yaw angle : -9.00° | Pitch_current : 5.89 A | Yaw_current : 8.75 A
Voltage : 12.51 V | Pitch angle : 59.00° | Yaw angle : -9.75° | Pitch_current : 2.63 A | Yaw_current : 8.87 A
Voltage : 13.57 V | Pitch angle : 59.00° | Yaw angle : -10.00° | Pitch_current : 2.55 A | Yaw_current : 8.49 A
Voltage : 12.28 V | Pitch angle : 58.75° | Yaw angle : -10.50° | Pitch_current : 4.05 A | Yaw_current : 8.45 A
Voltage : 12.13 V | Pitch angle : 59.00° | Yaw angle : -10.75° | Pitch_current : 4.21 A | Yaw_current : 8.50 A
Voltage : 11.72 V | Pitch angle : 59.00° | Yaw angle : -10.75° | Pitch_current : 4.07 A | Yaw_current : 8.63 A
Voltage : 13.01 V | Pitch angle : 59.00° | Yaw angle : -10.75° | Pitch_current : 4.00 A | Yaw_current : 8.59 A
Voltage : 12.96 V | Pitch angle : 59.00° | Yaw angle : -10.25° | Pitch_current : 4.09 A | Yaw_current : 8.63 A
Voltage : 12.38 V | Pitch angle : 59.00° | Yaw angle : -9.75° | Pitch_current : 4.21 A | Yaw_current : 8.32 A
Voltage : 12.91 V | Pitch angle : 59.00° | Yaw angle : -9.25° | Pitch_current : 4.30 A | Yaw_current : 7.70 A
Voltage : 13.85 V | Pitch angle : 59.00° | Yaw angle : -8.50° | Pitch_current : 3.91 A | Yaw_current : 7.92 A
Voltage : 13.14 V | Pitch angle : 59.00° | Yaw angle : -8.00° | Pitch_current : 4.22 A | Yaw_current : 7.76 A
Voltage : 13.11 V | Pitch angle : 59.00° | Yaw angle : -7.75° | Pitch_current : 4.37 A | Yaw_current : 7.42 A
Voltage : 12.61 V | Pitch angle : 59.00° | Yaw angle : -7.50° | Pitch_current : 4.36 A | Yaw_current : 6.83 A
Voltage : 12.30 V | Pitch angle : 59.00° | Yaw angle : -7.00° | Pitch_current : 4.50 A | Yaw_current : 6.51 A
Voltage : 12.73 V | Pitch angle : 59.00° | Yaw angle : -7.00° | Pitch_current : 4.51 A | Yaw_current : 6.46 A
Voltage : 12.18 V | Pitch angle : 59.00° | Yaw angle : -6.75° | Pitch_current : 4.72 A | Yaw_current : 6.64 A
Voltage : 12.94 V | Pitch angle : 59.00° | Yaw angle : -6.50° | Pitch_current : 4.23 A | Yaw_current : 7.18 A
Voltage : 11.97 V | Pitch angle : 59.00° | Yaw angle : -6.25° | Pitch_current : 4.45 A | Yaw_current : 6.73 A
Voltage : 12.13 V | Pitch angle : 59.00° | Yaw angle : -5.75° | Pitch_current : 4.41 A | Yaw_current : 6.58 A
Voltage : 12.78 V | Pitch angle : 59.00° | Yaw angle : -5.50° | Pitch_current : 4.36 A | Yaw_current : 5.88 A
Voltage : 12.66 V | Pitch angle : 59.00° | Yaw angle : -5.25° | Pitch_current : 4.70 A | Yaw_current : 5.67 A
Voltage : 13.32 V | Pitch angle : 59.00° | Yaw angle : -5.00° | Pitch_current : 4.70 A | Yaw_current : 5.44 A
Voltage : 13.59 V | Pitch angle : 59.00° | Yaw angle : -4.75° | Pitch_current : 4.76 A | Yaw_current : 4.87 A
Voltage : 14.23 V | Pitch angle : 59.00° | Yaw angle : -5.00° | Pitch_current : 4.65 A | Yaw_current : 5.54 A
Voltage : 13.44 V | Pitch angle : 59.00° | Yaw angle : -5.25° | Pitch_current : 4.76 A | Yaw_current : 5.84 A
Voltage : 12.91 V | Pitch angle : 59.00° | Yaw angle : -5.50° | Pitch_current : 4.59 A | Yaw_current : 6.26 A
Voltage : 12.68 V | Pitch angle : 59.00° | Yaw angle : -6.00° | Pitch_current : 4.41 A | Yaw_current : 6.69 A
Voltage : 13.01 V | Pitch angle : 59.00° | Yaw angle : -6.50° | Pitch_current : 4.61 A | Yaw_current : 6.79 A
Voltage : 12.28 V | Pitch angle : 59.00° | Yaw angle : -7.00° | Pitch_current : 4.37 A | Yaw_current : 7.20 A
Voltage : 11.21 V | Pitch angle : 59.00° | Yaw angle : -7.50° | Pitch_current : 4.55 A | Yaw_current : 7.26 A
Voltage : 12.61 V | Pitch angle : 59.00° | Yaw angle : -8.00° | Pitch_current : 4.04 A | Yaw_current : 7.72 A
Voltage : 13.29 V | Pitch angle : 59.00° | Yaw angle : -8.50° | Pitch_current : 4.12 A | Yaw_current : 8.06 A
