Voltage : 10.51 V | Pitch angle : 62.50° | Yaw angle : -3.25° | Pitch_current : 2.65 A | Yaw_current : 7.35 A
Voltage : 12.20 V | Pitch angle : 62.50° | Yaw angle : -3.00° | Pitch_current : 2.38 A | Yaw_current : 7.01 A
Voltage : 12.13 V | Pitch angle : 62.25° | Yaw angle : -2.25° | Pitch_current : 2.70 A | Yaw_current : 6.64 A
Voltage : 12.28 V | Pitch angle : 62.25° | Yaw angle : -1.75° | Pitch_current : 2.67 A | Yaw_current : 5.36 A
Voltage : 11.62 V | Pitch angle : 62.00° | Yaw angle : -1.00° | Pitch_current : 4.63 A | Yaw_current : 5.36 A
Voltage : 12.23 V | Pitch angle : 62.00° | Yaw angle : -0.75° | Pitch_current : 4.45 A | Yaw_current : 5.21 A
Voltage : 11.27 V | Pitch angle : 62.00° | Yaw angle : -0.50° | Pitch_current : 4.69 A | Yaw_current : 4.74 A
Voltage : 12.10 V | Pitch angle : 62.00° | Yaw angle : -0.50° | Pitch_current : 4.73 A | Yaw_current : 4.96 A
Voltage : 11.90 V | Pitch angle : 62.00° | Yaw angle : -0.75° | Pitch_current : 3.18 A | Yaw_current : 4.55 A
Voltage : 12.89 V | Pitch angle : 62.00° | Yaw angle : -1.00° | Pitch_current : 3.11 A | Yaw_current : 4.77 A
Voltage : 12.71 V | Pitch angle : 62.00° | Yaw angle : -1.25° | Pitch_current : 2.99 A | Yaw_current : 5.23 A
Voltage : 12.61 V | Pitch angle : 62.00° | Yaw angle : -1.50° | Pitch_current : 3.06 A | Yaw_current : 5.74 A
Voltage : 12.10 V | Pitch angle : 62.00° | Yaw angle : -1.50° | Pitch_current : 3.19 A | Yaw_current : 6.12 A
Voltage : 12.45 V | Pitch angle : 62.00° | Yaw angle : -1.75° | Pitch_current : 3.12 A | Yaw_current : 6.10 A
Voltage : 12.08 V | Pitch angle : 62.00° | Yaw angle : -2.00° | Pitch_current : 2.95 A | Yaw_current : 6.74 A
Voltage : 12.02 V | Pitch angle : 62.00° | Yaw angle : -2.25° | Pitch_current : 2.87 A | Yaw_current : 7.16 A
Voltage : 12.28 V | Pitch angle : 62.00° | Yaw angle : -2.25° | Pitch_current : 2.68 A | Yaw_current : 7.40 A
