Voltage : 12.71 V | Pitch angle : 61.25° | Yaw angle : -3.50° | Pitch_current : 6.17 A | Yaw_current : 5.18 A
Voltage : 12.33 V | Pitch angle : 61.25° | Yaw angle : -3.75° | Pitch_current : 6.20 A | Yaw_current : 6.99 A
Voltage : 13.24 V | Pitch angle : 61.50° | Yaw angle : -4.25° | Pitch_current : 2.81 A | Yaw_current : 7.22 A
Voltage : 14.10 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 2.87 A | Yaw_current : 7.23 A
Voltage : 13.26 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 2.69 A | Yaw_current : 7.80 A
Voltage : 12.23 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 2.69 A | Yaw_current : 8.03 A
Voltage : 12.30 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 2.72 A | Yaw_current : 7.95 A
Voltage : 12.38 V | Pitch angle : 61.25° | Yaw angle : -4.25° | Pitch_current : 2.94 A | Yaw_current : 7.92 A
Voltage : 12.28 V | Pitch angle : 61.25° | Yaw angle : -3.75° | Pitch_current : 3.04 A | Yaw_current : 7.54 A
Voltage : 12.18 V | Pitch angle : 61.25° | Yaw angle : -3.25° | Pitch_current : 2.78 A | Yaw_current : 7.22 A
Voltage : 12.30 V | Pitch angle : 61.25° | Yaw angle : -2.75° | Pitch_current : 2.79 A | Yaw_current : 6.86 A
Voltage : 13.19 V | Pitch angle : 61.25° | Yaw angle : -2.00° | Pitch_current : 2.68 A | Yaw_current : 6.55 A
Voltage : 13.44 V | Pitch angle : 61.25° | Yaw angle : -1.50° | Pitch_current : 3.22 A | Yaw_current : 5.78 A
Voltage : 13.59 V | Pitch angle : 61.25° | Yaw angle : -1.00° | Pitch_current : 2.96 A | Yaw_current : 5.68 A
Voltage : 14.05 V | Pitch angle : 61.25° | Yaw angle : -0.50° | Pitch_current : 2.98 A | Yaw_current : 5.25 A
Voltage : 13.37 V | Pitch angle : 61.25° | Yaw angle : -0.25° | Pitch_current : 3.37 A | Yaw_current : 4.90 A
Voltage : 13.42 V | Pitch angle : 61.25° | Yaw angle : 0.00° | Pitch_current : 3.11 A | Yaw_current : 4.67 A
Voltage : 13.04 V | Pitch angle : 61.25° | Yaw angle : 0.00° | Pitch_current : 3.24 A | Yaw_current : 4.34 A
Voltage : 13.97 V | Pitch angle : 61.25° | Yaw angle : 0.00° | Pitch_current : 3.17 A | Yaw_current : 4.00 A
Voltage : 13.21 V | Pitch angle : 61.25° | Yaw angle : 0.00° | Pitch_current : 3.19 A | Yaw_current : 4.17 A
Voltage : 13.29 V | Pitch angle : 61.25° | Yaw angle : 0.00° | Pitch_current : 3.27 A | Yaw_current : 4.36 A
Voltage : 13.06 V | Pitch angle : 61.25° | Yaw angle : -0.25° | Pitch_current : 3.28 A | Yaw_current : 4.40 A
Voltage : 13.39 V | Pitch angle : 61.25° | Yaw angle : -0.75° | Pitch_current : 3.13 A | Yaw_current : 4.79 A
Voltage : 12.86 V | Pitch angle : 61.25° | Yaw angle : -1.25° | Pitch_current : 2.94 A | Yaw_current : 5.24 A
Voltage : 12.23 V | Pitch angle : 61.25° | Yaw angle : -1.75° | Pitch_current : 3.03 A | Yaw_current : 5.43 A
Voltage : 14.10 V | Pitch angle : 61.25° | Yaw angle : -2.25° | Pitch_current : 3.06 A | Yaw_current : 5.90 A
Voltage : 13.52 V | Pitch angle : 61.25° | Yaw angle : -2.50° | Pitch_current : 3.34 A | Yaw_current : 6.38 A
Voltage : 13.80 V | Pitch angle : 61.25° | Yaw angle : -2.75° | Pitch_current : 3.06 A | Yaw_current : 6.51 A
Voltage : 14.15 V | Pitch angle : 61.25° | Yaw angle : -3.00° | Pitch_current : 2.98 A | Yaw_current : 6.84 A
Voltage : 14.18 V | Pitch angle : 61.25° | Yaw angle : -2.75° | Pitch_current : 2.71 A | Yaw_current : 6.69 A
Voltage : 14.58 V | Pitch angle : 61.25° | Yaw angle : -2.50° | Pitch_current : 2.83 A | Yaw_current : 6.56 A
Voltage : 13.70 V | Pitch angle : 61.25° | Yaw angle : -1.75° | Pitch_current : 2.91 A | Yaw_current : 6.25 A
Voltage : 13.24 V | Pitch angle : 61.25° | Yaw angle : -1.25° | Pitch_current : 2.98 A | Yaw_current : 5.94 A
Voltage : 13.59 V | Pitch angle : 61.25° | Yaw angle : -0.50° | Pitch_current : 2.82 A | Yaw_current : 5.36 A
Voltage : 13.72 V | Pitch angle : 61.25° | Yaw angle : 0.25° | Pitch_current : 3.13 A | Yaw_current : 5.49 A
Voltage : 13.01 V | Pitch angle : 61.25° | Yaw angle : 1.00° | Pitch_current : 3.02 A | Yaw_current : 4.76 A
Voltage : 13.75 V | Pitch angle : 61.25° | Yaw angle : 1.75° | Pitch_current : 3.04 A | Yaw_current : 4.56 A
Voltage : 13.42 V | Pitch angle : 61.25° | Yaw angle : 2.25° | Pitch_current : 3.29 A | Yaw_current : 4.18 A
Voltage : 13.24 V | Pitch angle : 61.25° | Yaw angle : 2.75° | Pitch_current : 3.09 A | Yaw_current : 4.02 A
Voltage : 13.32 V | Pitch angle : 61.25° | Yaw angle : 3.25° | Pitch_current : 3.18 A | Yaw_current : 3.56 A
Voltage : 13.97 V | Pitch angle : 61.25° | Yaw angle : 3.50° | Pitch_current : 3.58 A | Yaw_current : 3.27 A
Voltage : 13.72 V | Pitch angle : 61.25° | Yaw angle : 3.50° | Pitch_current : 3.23 A | Yaw_current : 2.97 A
Voltage : 13.90 V | Pitch angle : 61.25° | Yaw angle : 3.75° | Pitch_current : 3.50 A | Yaw_current : 2.93 A
Voltage : 14.89 V | Pitch angle : 61.25° | Yaw angle : 3.50° | Pitch_current : 3.60 A | Yaw_current : 2.62 A
Voltage : 14.33 V | Pitch angle : 61.25° | Yaw angle : 3.25° | Pitch_current : 3.28 A | Yaw_current : 2.50 A
Voltage : 14.10 V | Pitch angle : 61.25° | Yaw angle : 2.50° | Pitch_current : 3.36 A | Yaw_current : 2.60 A
Voltage : 13.42 V | Pitch angle : 61.25° | Yaw angle : 1.75° | Pitch_current : 3.61 A | Yaw_current : 2.96 A
Voltage : 13.09 V | Pitch angle : 61.25° | Yaw angle : 1.00° | Pitch_current : 3.33 A | Yaw_current : 3.25 A
Voltage : 13.49 V | Pitch angle : 61.25° | Yaw angle : 0.25° | Pitch_current : 3.34 A | Yaw_current : 3.64 A
Voltage : 13.01 V | Pitch angle : 61.25° | Yaw angle : -0.50° | Pitch_current : 3.14 A | Yaw_current : 3.92 A
Voltage : 12.83 V | Pitch angle : 61.25° | Yaw angle : -1.25° | Pitch_current : 3.20 A | Yaw_current : 4.08 A
Voltage : 13.14 V | Pitch angle : 61.25° | Yaw angle : -2.00° | Pitch_current : 3.12 A | Yaw_current : 4.53 A
Voltage : 12.89 V | Pitch angle : 61.25° | Yaw angle : -2.50° | Pitch_current : 2.97 A | Yaw_current : 4.64 A
Voltage : 12.63 V | Pitch angle : 61.25° | Yaw angle : -3.25° | Pitch_current : 3.03 A | Yaw_current : 4.62 A
Voltage : 12.76 V | Pitch angle : 61.25° | Yaw angle : -3.50° | Pitch_current : 3.23 A | Yaw_current : 4.51 A
Voltage : 13.75 V | Pitch angle : 61.25° | Yaw angle : -4.00° | Pitch_current : 3.09 A | Yaw_current : 4.13 A
Voltage : 14.38 V | Pitch angle : 61.25° | Yaw angle : -4.25° | Pitch_current : 3.30 A | Yaw_current : 3.96 A
Voltage : 13.72 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.39 A | Yaw_current : 3.70 A
Voltage : 14.05 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.23 A | Yaw_current : 3.67 A
Voltage : 14.76 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.15 A | Yaw_current : 3.40 A
Voltage : 14.33 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.20 A | Yaw_current : 3.40 A
Voltage : 14.76 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.24 A | Yaw_current : 3.64 A
Voltage : 13.80 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.30 A | Yaw_current : 3.53 A
Voltage : 13.42 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.17 A | Yaw_current : 3.50 A
Voltage : 13.37 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.21 A | Yaw_current : 3.38 A
Voltage : 13.29 V | Pitch angle : 61.25° | Yaw angle : -4.50° | Pitch_current : 3.29 A | Yaw_current : 3.54 A
Voltage : 13.82 V | Pitch angle : 61.25° | Yaw angle : -4.75° | Pitch_current : 3.29 A | Yaw_current : 3.54 A
Voltage : 13.42 V | Pitch angle : 61.25° | Yaw angle : -4.75° | Pitch_current : 3.25 A | Yaw_current : 3.47 A
Voltage : 12.45 V | Pitch angle : 61.25° | Yaw angle : -5.00° | Pitch_current : 3.26 A | Yaw_current : 3.32 A
Voltage : 12.96 V | Pitch angle : 61.25° | Yaw angle : -5.25° | Pitch_current : 3.47 A | Yaw_current : 3.48 A
Voltage : 13.16 V | Pitch angle : 61.25° | Yaw angle : -5.50° | Pitch_current : 3.26 A | Yaw_current : 3.58 A
Voltage : 13.52 V | Pitch angle : 61.25° | Yaw angle : -5.75° | Pitch_current : 3.15 A | Yaw_current : 3.49 A
Voltage : 13.75 V | Pitch angle : 61.25° | Yaw angle : -5.75° | Pitch_current : 3.14 A | Yaw_current : 3.48 A
Voltage : 13.85 V | Pitch angle : 61.25° | Yaw angle : -6.00° | Pitch_current : 3.29 A | Yaw_current : 3.56 A
Voltage : 14.43 V | Pitch angle : 61.25° | Yaw angle : -6.25° | Pitch_current : 3.05 A | Yaw_current : 3.43 A
Voltage : 14.89 V | Pitch angle : 61.25° | Yaw angle : -6.50° | Pitch_current : 3.22 A | Yaw_current : 3.51 A
Voltage : 14.13 V | Pitch angle : 61.25° | Yaw angle : -6.75° | Pitch_current : 3.30 A | Yaw_current : 3.62 A
Voltage : 14.10 V | Pitch angle : 61.25° | Yaw angle : -7.00° | Pitch_current : 3.20 A | Yaw_current : 3.52 A
Voltage : 13.67 V | Pitch angle : 61.25° | Yaw angle : -7.25° | Pitch_current : 3.26 A | Yaw_current : 3.57 A
Voltage : 12.99 V | Pitch angle : 61.25° | Yaw angle : -7.50° | Pitch_current : 3.38 A | Yaw_current : 3.36 A
Voltage : 14.15 V | Pitch angle : 61.25° | Yaw angle : -7.75° | Pitch_current : 3.26 A | Yaw_current : 3.37 A
Voltage : 12.94 V | Pitch angle : 61.25° | Yaw angle : -7.75° | Pitch_current : 3.20 A | Yaw_current : 3.50 A
Voltage : 12.91 V | Pitch angle : 61.25° | Yaw angle : -8.00° | Pitch_current : 3.51 A | Yaw_current : 3.46 A
Voltage : 13.90 V | Pitch angle : 61.25° | Yaw angle : -8.00° | Pitch_current : 3.01 A | Yaw_current : 3.58 A
Voltage : 13.16 V | Pitch angle : 61.25° | Yaw angle : -8.00° | Pitch_current : 3.29 A | Yaw_current : 3.43 A
Voltage : 12.51 V | Pitch angle : 61.25° | Yaw angle : -8.00° | Pitch_current : 3.28 A | Yaw_current : 3.48 A
Voltage : 13.19 V | Pitch angle : 61.25° | Yaw angle : -8.00° | Pitch_current : 3.17 A | Yaw_current : 3.29 A
Voltage : 14.20 V | Pitch angle : 61.25° | Yaw angle : -8.25° | Pitch_current : 3.20 A | Yaw_current : 3.19 A
Voltage : 13.54 V | Pitch angle : 61.25° | Yaw angle : -8.25° | Pitch_current : 3.29 A | Yaw_current : 2.99 A
Voltage : 14.56 V | Pitch angle : 61.25° | Yaw angle : -8.25° | Pitch_current : 3.33 A | Yaw_current : 2.88 A
Voltage : 14.23 V | Pitch angle : 61.25° | Yaw angle : -8.50° | Pitch_current : 3.14 A | Yaw_current : 2.63 A
Voltage : 14.18 V | Pitch angle : 61.25° | Yaw angle : -8.50° | Pitch_current : 3.01 A | Yaw_current : 2.73 A
Voltage : 14.25 V | Pitch angle : 61.25° | Yaw angle : -8.75° | Pitch_current : 2.96 A | Yaw_current : 2.50 A
Voltage : 14.10 V | Pitch angle : 61.25° | Yaw angle : -9.00° | Pitch_current : 3.05 A | Yaw_current : 2.33 A
Voltage : 14.30 V | Pitch angle : 61.25° | Yaw angle : -9.25° | Pitch_current : 2.92 A | Yaw_current : 2.36 A
Voltage : 13.87 V | Pitch angle : 61.25° | Yaw angle : -9.25° | Pitch_current : 2.86 A | Yaw_current : 2.34 A
Voltage : 13.77 V | Pitch angle : 61.25° | Yaw angle : -9.50° | Pitch_current : 2.77 A | Yaw_current : 2.24 A
Voltage : 14.28 V | Pitch angle : 61.25° | Yaw angle : -9.50° | Pitch_current : 2.70 A | Yaw_current : 2.22 A
Voltage : 13.49 V | Pitch angle : 61.25° | Yaw angle : -9.25° | Pitch_current : 2.65 A | Yaw_current : 2.06 A
Voltage : 13.42 V | Pitch angle : 61.25° | Yaw angle : -9.25° | Pitch_current : 2.71 A | Yaw_current : 2.07 A
Voltage : 13.11 V | Pitch angle : 61.25° | Yaw angle : -9.00° | Pitch_current : 2.79 A | Yaw_current : 2.04 A
Voltage : 13.85 V | Pitch angle : 61.25° | Yaw angle : -8.75° | Pitch_current : 2.73 A | Yaw_current : 2.02 A
Voltage : 13.26 V | Pitch angle : 61.25° | Yaw angle : -8.50° | Pitch_current : 2.71 A | Yaw_current : 2.15 A
Voltage : 13.80 V | Pitch angle : 61.25° | Yaw angle : -8.50° | Pitch_current : 2.68 A | Yaw_current : 2.14 A
Voltage : 14.13 V | Pitch angle : 61.25° | Yaw angle : -8.50° | Pitch_current : 2.19 A | Yaw_current : 0.00 A
Voltage : 6.66 V | Pitch angle : 61.25° | Yaw angle : -8.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 6.35 V | Pitch angle : 61.25° | Yaw angle : -8.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 6.10 V | Pitch angle : 61.00° | Yaw angle : -7.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.82 V | Pitch angle : 60.75° | Yaw angle : -7.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.70 V | Pitch angle : 60.00° | Yaw angle : -6.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.67 V | Pitch angle : 58.50° | Yaw angle : -6.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.44 V | Pitch angle : 56.25° | Yaw angle : -5.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.24 V | Pitch angle : 53.25° | Yaw angle : -4.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.78 V | Pitch angle : 49.25° | Yaw angle : -4.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.68 V | Pitch angle : 44.00° | Yaw angle : -3.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.61 V | Pitch angle : 38.00° | Yaw angle : -2.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.46 V | Pitch angle : 30.75° | Yaw angle : -1.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.46 V | Pitch angle : 22.50° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.33 V | Pitch angle : 13.50° | Yaw angle : 1.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.43 V | Pitch angle : 3.75° | Yaw angle : 4.25° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.00 V | Pitch angle : -0.50° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 3.95 V | Pitch angle : -0.50° | Yaw angle : 6.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 5.24 V | Pitch angle : -0.25° | Yaw angle : 5.50° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.43 V | Pitch angle : -0.25° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.56 V | Pitch angle : -0.25° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.63 V | Pitch angle : -0.25° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.61 V | Pitch angle : -0.25° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.51 V | Pitch angle : -0.25° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 4.35 V | Pitch angle : -0.25° | Yaw angle : 5.75° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
