Voltage : 10.40 V | Pitch angle : 56.50° | Yaw angle : 0.00° | Pitch_current : 4.20 A | Yaw_current : 7.85 A
Voltage : 10.35 V | Pitch angle : 56.50° | Yaw angle : 0.00° | Pitch_current : 4.66 A | Yaw_current : 6.94 A
Voltage : 11.09 V | Pitch angle : 56.50° | Yaw angle : 0.00° | Pitch_current : 5.01 A | Yaw_current : 6.44 A
Voltage : 10.56 V | Pitch angle : 56.50° | Yaw angle : 0.25° | Pitch_current : 5.09 A | Yaw_current : 6.57 A
Voltage : 11.24 V | Pitch angle : 56.75° | Yaw angle : 0.25° | Pitch_current : 4.89 A | Yaw_current : 6.29 A
Voltage : 11.80 V | Pitch angle : 56.75° | Yaw angle : 0.00° | Pitch_current : 3.51 A | Yaw_current : 5.79 A
Voltage : 11.75 V | Pitch angle : 57.00° | Yaw angle : -0.25° | Pitch_current : 3.60 A | Yaw_current : 6.61 A
Voltage : 10.81 V | Pitch angle : 57.00° | Yaw angle : -0.25° | Pitch_current : 3.41 A | Yaw_current : 6.81 A
Voltage : 10.96 V | Pitch angle : 57.00° | Yaw angle : -0.25° | Pitch_current : 3.98 A | Yaw_current : 6.54 A
Voltage : 10.89 V | Pitch angle : 57.00° | Yaw angle : 0.00° | Pitch_current : 4.88 A | Yaw_current : 6.98 A
Voltage : 10.81 V | Pitch angle : 57.00° | Yaw angle : 0.00° | Pitch_current : 4.60 A | Yaw_current : 6.09 A
Voltage : 11.34 V | Pitch angle : 57.00° | Yaw angle : -0.25° | Pitch_current : 4.90 A | Yaw_current : 5.52 A
Voltage : 11.34 V | Pitch angle : 57.00° | Yaw angle : -0.50° | Pitch_current : 5.19 A | Yaw_current : 6.38 A
Voltage : 10.94 V | Pitch angle : 57.00° | Yaw angle : -1.00° | Pitch_current : 4.86 A | Yaw_current : 6.93 A
Voltage : 10.91 V | Pitch angle : 57.00° | Yaw angle : -1.50° | Pitch_current : 4.53 A | Yaw_current : 7.26 A
Voltage : 11.01 V | Pitch angle : 57.00° | Yaw angle : -1.75° | Pitch_current : 4.39 A | Yaw_current : 7.84 A
Voltage : 10.00 V | Pitch angle : 57.00° | Yaw angle : -2.00° | Pitch_current : 4.15 A | Yaw_current : 7.69 A
Voltage : 10.58 V | Pitch angle : 57.00° | Yaw angle : -2.00° | Pitch_current : 4.86 A | Yaw_current : 8.22 A
Voltage : 10.02 V | Pitch angle : 57.00° | Yaw angle : -2.00° | Pitch_current : 4.17 A | Yaw_current : 8.80 A
Voltage : 10.46 V | Pitch angle : 57.00° | Yaw angle : -1.75° | Pitch_current : 4.06 A | Yaw_current : 8.80 A
Voltage : 10.48 V | Pitch angle : 57.00° | Yaw angle : -1.25° | Pitch_current : 4.05 A | Yaw_current : 8.10 A
Voltage : 10.46 V | Pitch angle : 57.00° | Yaw angle : -1.00° | Pitch_current : 4.46 A | Yaw_current : 7.96 A
Voltage : 9.72 V | Pitch angle : 57.00° | Yaw angle : -0.25° | Pitch_current : 4.48 A | Yaw_current : 7.16 A
Voltage : 10.71 V | Pitch angle : 57.00° | Yaw angle : 0.25° | Pitch_current : 4.65 A | Yaw_current : 6.92 A
Voltage : 10.73 V | Pitch angle : 57.00° | Yaw angle : 0.75° | Pitch_current : 4.52 A | Yaw_current : 6.40 A
Voltage : 10.78 V | Pitch angle : 57.00° | Yaw angle : 1.00° | Pitch_current : 4.65 A | Yaw_current : 5.97 A
Voltage : 10.96 V | Pitch angle : 57.00° | Yaw angle : 1.50° | Pitch_current : 4.61 A | Yaw_current : 5.78 A
Voltage : 11.47 V | Pitch angle : 57.25° | Yaw angle : 1.75° | Pitch_current : 4.87 A | Yaw_current : 5.39 A
Voltage : 11.80 V | Pitch angle : 57.25° | Yaw angle : 1.75° | Pitch_current : 4.86 A | Yaw_current : 5.30 A
Voltage : 12.08 V | Pitch angle : 57.25° | Yaw angle : 1.50° | Pitch_current : 3.44 A | Yaw_current : 4.86 A
Voltage : 11.62 V | Pitch angle : 57.25° | Yaw angle : 1.50° | Pitch_current : 3.62 A | Yaw_current : 4.55 A
Voltage : 11.44 V | Pitch angle : 57.25° | Yaw angle : 1.25° | Pitch_current : 5.08 A | Yaw_current : 5.32 A
Voltage : 10.71 V | Pitch angle : 57.25° | Yaw angle : 1.00° | Pitch_current : 4.72 A | Yaw_current : 6.00 A
Voltage : 11.16 V | Pitch angle : 57.25° | Yaw angle : 0.75° | Pitch_current : 4.88 A | Yaw_current : 6.40 A
Voltage : 11.09 V | Pitch angle : 57.25° | Yaw angle : 0.75° | Pitch_current : 4.52 A | Yaw_current : 7.04 A
Voltage : 11.09 V | Pitch angle : 57.25° | Yaw angle : 0.75° | Pitch_current : 4.16 A | Yaw_current : 7.66 A
Voltage : 10.86 V | Pitch angle : 57.25° | Yaw angle : 1.00° | Pitch_current : 4.30 A | Yaw_current : 6.71 A
Voltage : 10.89 V | Pitch angle : 57.25° | Yaw angle : 1.25° | Pitch_current : 4.36 A | Yaw_current : 6.05 A
Voltage : 10.96 V | Pitch angle : 57.25° | Yaw angle : 1.75° | Pitch_current : 4.70 A | Yaw_current : 5.60 A
Voltage : 11.09 V | Pitch angle : 57.25° | Yaw angle : 2.25° | Pitch_current : 4.56 A | Yaw_current : 4.88 A
Voltage : 11.70 V | Pitch angle : 57.25° | Yaw angle : 2.50° | Pitch_current : 4.89 A | Yaw_current : 4.70 A
Voltage : 11.70 V | Pitch angle : 57.25° | Yaw angle : 2.75° | Pitch_current : 4.93 A | Yaw_current : 4.20 A
Voltage : 11.16 V | Pitch angle : 57.25° | Yaw angle : 2.50° | Pitch_current : 4.93 A | Yaw_current : 3.74 A
Voltage : 11.90 V | Pitch angle : 57.25° | Yaw angle : 2.25° | Pitch_current : 5.22 A | Yaw_current : 3.68 A
Voltage : 12.28 V | Pitch angle : 57.25° | Yaw angle : 2.00° | Pitch_current : 5.27 A | Yaw_current : 3.82 A
Voltage : 12.25 V | Pitch angle : 57.25° | Yaw angle : 1.50° | Pitch_current : 4.81 A | Yaw_current : 4.69 A
