Voltage : 13.85 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.75 A | Yaw_current : 0.77 A
Voltage : 13.82 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.56 A | Yaw_current : 0.74 A
Voltage : 14.18 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.54 A | Yaw_current : 0.90 A
Voltage : 13.90 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.60 A | Yaw_current : 1.09 A
Voltage : 14.51 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.51 A | Yaw_current : 0.92 A
Voltage : 15.29 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.63 A | Yaw_current : 0.79 A
Voltage : 15.11 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.55 A | Yaw_current : 0.75 A
Voltage : 15.44 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.53 A | Yaw_current : 0.81 A
Voltage : 15.32 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.54 A | Yaw_current : 0.75 A
Voltage : 15.42 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.52 A | Yaw_current : 0.85 A
Voltage : 14.99 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.65 A | Yaw_current : 0.95 A
Voltage : 14.61 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.49 A | Yaw_current : 1.02 A
Voltage : 14.94 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.49 A | Yaw_current : 0.95 A
Voltage : 14.40 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.55 A | Yaw_current : 0.80 A
Voltage : 14.38 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.62 A | Yaw_current : 0.77 A
Voltage : 14.30 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.52 A | Yaw_current : 0.79 A
Voltage : 13.95 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.63 A | Yaw_current : 0.78 A
Voltage : 14.00 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.55 A | Yaw_current : 0.75 A
Voltage : 13.64 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.59 A | Yaw_current : 0.78 A
Voltage : 13.64 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.55 A | Yaw_current : 0.81 A
Voltage : 13.80 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.56 A | Yaw_current : 0.78 A
Voltage : 14.18 V | Pitch angle : 64.25° | Yaw angle : 7.00° | Pitch_current : 1.51 A | Yaw_current : 0.75 A
Voltage : 14.43 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.50 A | Yaw_current : 0.78 A
Voltage : 14.58 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.57 A | Yaw_current : 0.77 A
Voltage : 15.04 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.57 A | Yaw_current : 0.82 A
Voltage : 15.19 V | Pitch angle : 64.25° | Yaw angle : 7.25° | Pitch_current : 1.53 A | Yaw_current : 0.83 A
Voltage : 15.34 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.56 A | Yaw_current : 0.79 A
Voltage : 15.21 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.57 A | Yaw_current : 0.78 A
Voltage : 15.26 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.59 A | Yaw_current : 0.81 A
Voltage : 15.01 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.57 A | Yaw_current : 0.77 A
Voltage : 14.61 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.52 A | Yaw_current : 0.75 A
Voltage : 14.58 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.57 A | Yaw_current : 0.79 A
Voltage : 14.20 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.55 A | Yaw_current : 0.77 A
Voltage : 14.23 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.74 A | Yaw_current : 0.76 A
Voltage : 13.95 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.55 A | Yaw_current : 0.82 A
Voltage : 13.87 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.52 A | Yaw_current : 0.77 A
Voltage : 14.20 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.66 A | Yaw_current : 0.82 A
Voltage : 14.05 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.55 A | Yaw_current : 0.80 A
Voltage : 13.77 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.56 A | Yaw_current : 0.78 A
Voltage : 14.25 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.53 A | Yaw_current : 0.78 A
Voltage : 14.58 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.60 A | Yaw_current : 0.79 A
Voltage : 15.14 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.58 A | Yaw_current : 0.75 A
Voltage : 15.21 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.52 A | Yaw_current : 0.78 A
Voltage : 15.42 V | Pitch angle : 64.25° | Yaw angle : 7.50° | Pitch_current : 1.59 A | Yaw_current : 0.83 A
Voltage : 15.57 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.54 A | Yaw_current : 0.80 A
Voltage : 15.39 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.53 A | Yaw_current : 0.82 A
Voltage : 15.19 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.54 A | Yaw_current : 0.77 A
Voltage : 15.04 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.50 A | Yaw_current : 0.80 A
Voltage : 14.51 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.54 A | Yaw_current : 0.78 A
Voltage : 13.92 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.67 A | Yaw_current : 0.79 A
Voltage : 14.18 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.59 A | Yaw_current : 0.81 A
Voltage : 14.02 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.56 A | Yaw_current : 0.75 A
Voltage : 13.75 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.54 A | Yaw_current : 0.77 A
Voltage : 14.10 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.55 A | Yaw_current : 0.80 A
Voltage : 13.37 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.58 A | Yaw_current : 0.82 A
Voltage : 13.82 V | Pitch angle : 64.25° | Yaw angle : 7.75° | Pitch_current : 1.64 A | Yaw_current : 0.80 A
