Voltage (V) | Pitch angle  | Yaw angle | Pitch_current  | Yaw_current | Yaw_ESC_Signal | Pitch_ESC_Signal
12.33  | 57.50° | 2.25° | 5.05 | 2.86 | 1119 µs | 1138 µs
11.82  | 57.50° | 2.25° | 5.51 | 3.21 | 1129 µs | 1138 µs
12.35  | 57.50° | 2.00° | 4.93 | 3.20 | 1132 µs | 1138 µs
12.23  | 57.50° | 2.00° | 4.94 | 3.20 | 1142 µs | 1138 µs
12.08  | 57.50° | 2.00° | 4.56 | 2.98 | 1151 µs | 1138 µs
12.68  | 57.50° | 2.25° | 4.57 | 3.03 | 1142 µs | 1138 µs
12.81  | 57.50° | 2.25° | 4.43 | 3.12 | 1132 µs | 1138 µs
12.15  | 57.50° | 2.25° | 4.03 | 3.15 | 1132 µs | 1138 µs
12.56  | 57.50° | 2.00° | 3.80 | 3.24 | 1132 µs | 1138 µs
12.89  | 57.50° | 2.00° | 3.90 | 3.16 | 1142 µs | 1138 µs
12.53  | 57.50° | 2.00° | 4.00 | 3.11 | 1151 µs | 1138 µs
12.61  | 57.50° | 2.00° | 4.10 | 3.09 | 1142 µs | 1138 µs
12.48  | 57.50° | 2.00° | 4.09 | 3.16 | 1138 µs | 1138 µs
12.81  | 57.50° | 2.00° | 3.97 | 3.17 | 1138 µs | 1138 µs
12.78  | 57.50° | 2.25° | 4.13 | 3.22 | 1138 µs | 1138 µs
12.40  | 57.50° | 2.25° | 3.86 | 3.08 | 1129 µs | 1138 µs
12.38  | 57.50° | 2.25° | 3.95 | 3.03 | 1119 µs | 1138 µs
12.89  | 57.50° | 2.25° | 4.02 | 3.12 | 1129 µs | 1138 µs
12.10  | 57.50° | 2.25° | 4.07 | 3.00 | 1132 µs | 1138 µs
13.09  | 57.50° | 2.25° | 4.11 | 3.12 | 1132 µs | 1138 µs
12.51  | 57.50° | 2.00° | 4.03 | 3.18 | 1132 µs | 1138 µs
12.96  | 57.50° | 2.00° | 4.21 | 3.06 | 1142 µs | 1138 µs
12.71  | 57.50° | 2.00° | 4.07 | 3.11 | 1151 µs | 1138 µs
12.76  | 57.50° | 2.00° | 4.09 | 3.12 | 1142 µs | 1138 µs
13.01  | 57.50° | 2.00° | 3.89 | 3.01 | 1138 µs | 1138 µs
12.91  | 57.50° | 2.00° | 3.95 | 3.14 | 1138 µs | 1138 µs
12.99  | 57.50° | 2.25° | 3.93 | 3.00 | 1138 µs | 1138 µs
12.28  | 57.50° | 2.25° | 4.07 | 2.94 | 1129 µs | 1138 µs
12.94  | 57.50° | 2.00° | 3.87 | 2.96 | 1119 µs | 1138 µs
12.91  | 57.50° | 2.00° | 3.97 | 3.03 | 1129 µs | 1138 µs
12.83  | 57.50° | 2.25° | 4.10 | 2.79 | 1138 µs | 1138 µs
12.78  | 57.50° | 2.25° | 4.21 | 2.59 | 1129 µs | 1138 µs
13.01  | 57.50° | 2.25° | 4.15 | 2.48 | 1119 µs | 1138 µs
13.06  | 57.50° | 2.00° | 3.81 | 2.31 | 1129 µs | 1138 µs
13.34  | 57.50° | 2.00° | 3.64 | 2.22 | 1138 µs | 1138 µs
13.44  | 57.50° | 2.00° | 3.49 | 2.04 | 1138 µs | 1138 µs
13.64  | 57.50° | 2.25° | 3.40 | 2.07 | 1138 µs | 1138 µs
13.49  | 57.50° | 2.25° | 3.34 | 2.01 | 1129 µs | 1138 µs
13.80  | Pi
